,Neutroticism,Extraversion,Openness,Agreeableness,Conscientiousness,Novelty Seeking,Harm avoidance,Reward dependence,Persistence,Self-directedness,Cooperativeness,Self-transcendence,Primary Trait Dimensions,Folk Scales,Special Purpose Scales,Honesty-Humility,Emotionality,eXtraversion,Agreeableness,Concienciousness,Openness to Experience,Scales,Extraversion,Agreeableness,Independence,Openness to Experince,Methodicalness,Industriousness,Adjustment,Ambition,Sociability,Interpersonal Sensitivity,Prudence,Learning Approach
508,24,48,65,48,53,67,31,24,74,65,44,21,44,73,71,44,33,55,33,50,78,46,40,47,89,72,38,56,61,79,33,37,34,89
509,56,40,81,71,51,48,53,46,48,50,67,48,53,47,40,64,44,28,60,52,89,50,30,51,58,90,66,51,54,39,51,65,54,88
510,41,68,70,67,67,30,38,61,52,65,77,76,58,69,68,65,57,73,64,65,84,64,63,58,50,80,75,48,60,74,58,69,51,83
511,69,69,86,16,32,81,46,53,53,23,23,47,59,49,34,23,44,78,9,33,84,52,84,17,58,86,30,31,24,56,80,41,16,87
512,87,28,79,27,16,76,87,35,29,17,24,39,51,32,22,37,58,27,10,20,92,44,30,18,53,86,30,25,12,33,38,20,22,68
513,23,73,63,52,87,34,24,46,82,68,48,38,65,69,71,29,40,73,37,88,80,60,78,23,28,87,94,78,67,82,76,57,59,74
514,39,62,76,83,54,57,55,64,58,69,80,73,48,67,68,78,69,55,80,49,78,62,47,73,35,78,42,55,62,65,62,79,57,75
515,12,75,77,50,79,74,10,51,88,82,67,44,48,76,94,61,34,78,23,73,78,60,71,43,58,87,51,63,80,91,75,51,36,71
516,57,56,64,66,59,54,52,68,53,53,63,52,57,51,52,46,69,48,53,63,55,56,58,41,33,64,71,50,43,61,56,77,51,66
517,46,71,76,50,46,77,38,53,68,49,49,44,51,57,57,40,52,70,34,42,83,61,66,42,32,90,41,44,49,55,78,53,36,83
518,61,80,69,73,56,62,37,63,79,47,83,89,58,57,46,74,63,83,78,58,79,66,69,63,45,79,47,60,48,61,73,83,47,72
519,26,29,47,73,64,30,53,33,45,50,61,11,39,65,66,56,38,29,64,68,57,43,22,60,57,71,82,61,69,42,32,52,51,89
520,41,34,91,74,76,41,52,27,69,53,75,71,49,47,49,69,29,19,72,90,97,52,11,64,84,98,87,71,56,38,24,64,39,98
521,54,24,74,76,83,26,66,32,80,52,83,77,57,43,42,82,56,18,57,92,93,56,9,47,63,89,86,79,37,40,21,59,58,92
522,63,70,71,56,36,61,47,61,52,43,77,79,62,61,47,37,78,79,69,32,81,65,81,55,32,79,26,47,43,56,75,80,30,57
523,64,27,61,41,60,33,75,28,48,30,30,36,56,38,37,49,54,21,28,65,68,40,23,24,56,60,80,49,32,33,37,35,51,69
524,31,62,77,61,92,45,33,46,92,63,53,39,60,71,69,51,46,77,46,95,83,66,64,37,50,90,92,79,52,74,67,64,63,84
525,63,50,79,72,28,63,57,79,26,47,74,69,48,57,46,69,70,50,67,24,87,56,57,58,37,83,34,27,56,41,57,80,51,61
526,38,49,87,83,81,27,54,64,74,64,86,86,51,60,65,78,59,29,87,80,90,63,27,79,43,97,84,68,63,60,39,77,59,88
527,58,74,77,50,30,79,39,62,34,48,53,45,49,54,43,33,56,78,53,26,76,57,71,41,41,73,32,22,40,57,77,67,28,66
528,64,53,76,56,50,56,58,50,54,52,59,62,54,44,39,62,63,46,38,57,89,61,38,21,61,88,65,47,29,51,57,58,39,68
529,58,33,80,63,70,38,64,58,64,43,51,56,50,51,47,68,53,41,35,76,84,52,31,31,59,79,77,63,31,40,37,51,53,80
530,49,72,90,58,71,57,44,73,79,55,63,72,64,57,48,43,56,74,61,79,87,68,71,59,30,84,72,58,46,58,80,74,44,69
531,52,49,72,64,46,69,46,34,57,42,61,39,42,54,60,58,43,36,48,48,70,56,29,46,50,82,46,46,52,47,47,64,41,78
532,58,58,91,53,73,60,53,52,76,53,57,68,68,56,53,29,66,50,40,78,93,64,47,31,49,90,71,62,45,66,51,65,42,85
533,85,53,83,40,39,57,67,55,38,39,42,42,62,43,28,37,74,59,14,43,84,56,60,8,53,79,60,28,18,55,57,53,36,65
534,70,49,67,58,58,34,58,42,63,44,49,48,54,50,42,83,59,49,27,54,67,47,42,37,78,69,64,61,29,51,49,46,46,75
535,57,48,69,68,48,66,53,37,66,42,65,50,46,50,54,66,42,35,35,49,68,54,29,43,54,79,44,52,43,49,39,57,46,72
536,36,81,79,49,78,60,25,57,94,70,60,58,61,62,64,35,36,80,34,80,87,64,64,23,63,97,70,71,53,80,78,66,43,72
537,52,22,63,77,71,41,61,29,73,46,75,60,49,46,55,72,43,11,82,79,75,55,21,77,54,82,76,71,59,44,29,50,61,85
538,25,77,62,50,63,74,16,47,65,69,53,41,46,66,76,28,23,86,30,57,65,51,81,39,55,69,52,45,72,83,83,59,36,67
539,40,35,71,80,27,45,70,59,33,52,79,56,42,59,55,77,79,45,66,31,76,50,33,56,63,68,37,41,60,43,39,80,42,55
540,76,41,78,78,51,37,66,63,37,43,64,70,60,48,36,86,79,47,43,55,89,55,37,35,43,77,74,48,32,41,49,70,58,61
541,17,51,70,72,72,36,20,53,65,84,61,36,44,67,75,78,31,45,65,69,72,56,42,69,56,84,77,60,81,61,53,64,58,79
542,73,35,68,43,38,59,78,48,30,28,52,48,51,39,33,37,72,46,32,38,66,49,37,25,47,62,38,32,21,28,43,43,31,70
543,52,50,76,43,36,74,46,40,32,42,43,40,49,50,43,32,38,58,30,36,75,51,55,38,54,72,49,28,45,48,66,45,36,59
544,40,68,70,52,66,68,37,60,69,55,71,50,53,67,63,34,45,81,63,59,73,62,76,60,56,70,64,57,58,75,72,75,50,84
545,61,44,80,88,38,59,74,62,37,41,85,86,48,46,45,69,70,31,82,42,90,63,23,65,20,88,48,43,53,30,47,83,50,79
546,44,41,68,65,65,53,33,44,82,55,75,62,54,56,59,73,46,55,66,66,76,60,32,65,52,84,50,71,58,47,39,55,61,72
547,61,48,71,54,57,52,56,54,61,45,61,62,53,44,40,64,54,44,36,62,75,54,41,31,61,77,64,50,37,43,55,56,44,59
548,81,76,59,66,41,54,53,76,68,35,74,86,64,48,32,43,77,78,40,39,63,60,73,29,23,68,38,56,31,56,73,78,55,79
549,86,35,48,36,30,62,77,28,37,23,26,40,50,29,22,43,52,17,22,34,48,40,21,29,67,36,43,31,18,26,27,27,31,68
550,67,61,81,57,39,67,57,57,48,40,64,76,54,50,38,44,68,63,51,42,85,63,63,43,39,88,37,39,31,49,69,69,35,77
551,74,65,83,61,67,51,57,78,65,38,50,52,63,49,36,48,81,71,39,72,66,66,71,40,26,84,71,55,38,50,70,67,58,80
552,87,14,59,54,41,28,92,27,33,27,50,68,53,32,25,73,65,16,34,45,71,45,13,26,59,53,52,45,12,23,21,32,46,43
553,67,36,67,63,61,42,59,38,68,37,67,65,50,38,36,77,55,29,53,68,76,55,28,41,56,74,73,68,36,32,33,55,56,81
554,49,35,66,37,66,59,63,20,69,41,40,36,52,38,41,46,29,23,58,75,67,38,20,43,86,76,71,60,39,43,40,39,38,72
555,42,53,60,62,58,56,57,47,50,51,61,39,49,54,58,49,51,46,60,61,61,50,48,41,66,62,62,44,58,67,44,64,45,64
556,65,54,83,70,44,53,67,57,40,51,70,46,54,44,47,62,69,37,53,42,83,56,37,48,37,78,56,38,39,51,55,75,43,50
557,80,47,74,51,66,46,64,54,73,40,50,63,59,37,31,74,69,47,27,71,69,58,39,26,42,74,63,58,18,37,48,51,50,72
558,58,53,71,69,55,57,58,46,58,43,69,67,55,44,43,56,57,39,44,57,75,55,41,48,43,79,58,52,48,50,55,65,47,73
559,65,36,65,42,46,54,73,23,51,34,35,29,42,42,32,41,37,28,32,46,63,41,28,30,77,66,52,48,29,41,34,34,32,90
560,53,64,64,69,66,57,45,60,75,50,70,72,57,53,56,62,68,56,53,66,65,61,54,46,39,61,52,65,51,63,60,72,57,51
561,61,60,72,53,59,39,54,60,58,52,54,50,57,53,44,52,62,58,39,61,71,56,53,34,37,69,58,49,38,56,57,55,51,78
562,76,61,84,68,61,36,54,84,48,37,65,63,66,47,31,81,83,69,53,66,88,66,62,39,21,80,86,52,28,43,61,78,62,73
563,45,46,75,77,70,37,62,55,70,60,75,67,58,50,61,71,63,26,60,69,92,59,32,49,52,84,68,76,54,55,37,70,59,70
564,87,62,78,70,29,63,60,70,38,29,72,88,55,42,27,63,73,62,49,34,81,68,58,36,30,80,31,35,25,30,69,77,43,69
565,74,35,87,68,40,63,76,55,45,39,67,59,50,33,29,69,67,20,51,40,91,55,24,37,50,90,46,47,26,36,31,61,35,81
566,66,22,61,71,27,28,85,50,20,28,53,40,44,45,39,69,72,19,48,29,62,45,19,59,59,52,51,42,42,20,19,57,55,70
567,68,32,78,63,52,32,79,30,45,35,48,48,54,46,35,51,57,29,36,55,83,46,28,30,72,79,65,46,34,46,36,39,45,69
568,44,64,76,74,70,46,49,69,66,60,87,70,56,57,59,66,60,59,63,75,72,61,58,69,31,70,79,56,61,68,65,79,53,61
569,55,38,86,85,50,38,60,48,47,51,77,51,49,53,53,90,68,25,82,48,83,59,23,67,32,87,56,53,59,40,45,68,61,66
570,76,78,91,45,49,64,57,83,52,38,55,70,65,54,37,34,76,79,24,54,88,68,82,19,16,92,64,43,26,59,89,69,42,80
571,35,52,60,64,58,51,44,44,47,63,59,32,46,66,71,48,47,47,54,53,73,52,51,52,45,80,62,46,70,69,53,53,59,67
572,48,67,73,67,38,64,41,66,35,51,69,54,52,61,53,54,59,68,56,34,74,59,70,48,26,78,37,31,54,62,79,73,41,65
573,25,46,42,50,82,31,42,22,82,76,51,47,49,64,76,58,29,42,40,79,51,46,38,52,86,70,83,76,64,75,41,40,43,78
574,84,26,63,60,9,73,80,48,11,22,55,50,39,24,19,48,67,18,29,14,51,42,21,39,37,59,22,15,19,7,47,53,31,32
575,37,67,63,61,88,37,27,64,87,67,66,60,62,66,70,65,50,74,37,88,74,64,63,43,27,90,95,81,63,74,65,55,70,77
576,56,55,62,44,57,54,58,44,61,53,48,46,56,52,53,44,53,58,42,63,61,55,61,35,45,63,59,54,41,70,59,50,50,66
577,58,58,77,69,14,73,52,59,25,47,75,72,44,45,39,61,59,63,74,13,76,60,56,65,29,73,14,15,52,33,75,73,34,20
578,55,69,71,61,63,49,43,72,54,50,65,61,58,55,52,50,62,69,47,63,69,59,68,45,41,68,69,50,47,59,74,73,52,47
579,42,45,66,76,62,50,49,70,48,52,71,49,44,50,58,77,58,41,58,66,52,54,45,49,29,73,62,41,60,47,49,75,52,50
580,27,70,80,77,50,64,23,60,65,72,84,88,49,62,58,63,37,73,80,49,82,57,59,70,53,83,48,50,75,71,65,84,41,72
581,52,46,51,42,25,66,58,26,33,42,35,26,41,43,40,14,37,42,30,27,63,39,52,30,67,63,38,25,49,51,57,43,28,73
582,21,75,75,81,74,40,25,73,75,81,73,57,51,67,73,81,51,70,66,73,81,63,59,63,41,91,72,72,79,76,64,79,65,71
583,43,55,56,27,72,72,37,26,79,57,23,31,54,52,52,25,19,53,2,83,62,45,51,4,78,56,74,61,41,67,55,25,29,77
584,62,44,60,43,42,61,54,34,47,38,46,55,52,45,37,39,46,54,34,44,62,47,44,35,67,61,47,48,33,43,51,51,34,51
585,57,50,82,66,60,64,47,51,79,53,80,78,51,45,47,64,62,45,43,68,86,62,32,37,52,85,55,64,39,58,33,57,42,80
586,25,65,71,68,72,50,25,48,78,79,59,39,52,75,78,60,37,68,54,73,77,54,54,48,69,82,68,61,75,84,63,65,51,77
587,92,48,63,16,33,74,80,17,68,19,31,72,64,32,16,5,66,48,1,40,86,55,56,0,67,91,34,50,11,42,74,32,23,65
588,24,47,75,70,60,55,32,38,43,72,72,78,43,62,68,75,45,44,64,59,85,55,32,57,62,85,64,42,67,60,44,63,36,59
589,36,61,58,58,78,51,36,69,77,61,82,77,61,66,63,39,56,74,63,78,59,58,79,45,46,64,80,66,54,82,70,76,57,54
590,37,66,76,70,36,66,36,60,47,56,75,55,51,66,58,38,53,73,75,33,73,56,73,70,49,75,38,40,63,69,71,83,42,64
591,55,52,54,72,60,53,42,71,54,48,80,43,49,57,47,60,59,65,60,70,52,55,49,57,36,65,64,63,52,44,60,67,69,28
592,85,61,66,58,53,58,63,69,66,38,63,69,59,42,30,68,71,59,31,60,78,60,52,28,35,73,50,58,18,46,57,69,42,62
593,87,20,74,63,31,44,87,41,21,28,57,53,42,36,23,84,67,20,54,36,78,50,12,40,60,71,42,38,20,17,28,45,50,66
594,63,67,90,88,64,68,47,64,74,49,77,63,48,49,46,84,69,48,74,71,90,68,47,63,40,92,61,60,54,42,64,84,57,86
595,42,40,67,67,37,47,67,37,39,52,61,34,43,49,54,74,38,34,29,28,65,39,32,49,71,87,43,51,40,58,32,54,35,81
596,58,62,61,43,91,38,43,58,96,49,45,51,68,53,46,62,53,67,19,97,72,65,56,15,46,70,95,83,30,67,49,44,68,82
597,80,41,46,20,18,79,75,33,32,22,13,39,49,41,26,18,56,49,10,14,49,39,53,12,68,43,8,28,16,41,58,23,21,62
598,81,36,74,49,24,63,68,33,36,35,49,54,46,44,35,77,51,26,32,26,84,50,23,42,60,89,33,26,30,30,41,42,34,89
599,1,90,92,90,94,28,7,81,90,91,94,77,54,88,88,68,44,89,90,94,97,71,81,76,37,98,93,73,95,96,81,98,73,92
600,44,68,60,77,65,39,46,78,62,57,75,56,60,58,66,70,68,52,71,63,55,59,65,60,25,61,78,58,65,67,63,80,65,65
601,34,60,62,88,61,40,44,67,33,73,77,59,44,68,65,83,63,65,70,60,62,61,49,65,34,69,69,41,69,56,61,79,60,53
602,66,23,65,51,47,44,77,34,46,35,51,45,46,36,36,60,56,14,49,54,68,47,15,43,57,63,61,48,34,27,35,40,47,58
603,43,36,75,59,42,59,58,63,53,60,49,42,45,58,57,55,46,39,38,38,76,46,41,48,60,78,40,57,56,62,39,45,48,61
604,71,49,70,63,34,61,60,78,57,39,68,58,49,35,35,69,68,37,52,39,53,55,35,45,40,52,38,47,40,31,49,68,47,47
605,11,76,67,77,91,32,15,68,85,84,79,62,54,78,83,58,41,80,76,91,78,67,75,63,29,83,90,77,89,90,78,82,75,81
606,84,44,91,65,34,75,73,73,42,19,73,65,51,49,35,30,74,57,60,41,83,61,46,47,31,73,40,45,22,39,52,76,42,89
607,42,37,61,70,53,57,59,33,41,49,58,40,39,47,50,53,44,30,61,61,55,44,26,57,71,62,58,50,58,42,33,65,45,65
608,64,64,81,66,88,56,39,77,89,45,68,69,70,52,48,54,73,69,52,99,76,72,70,40,26,86,97,75,47,68,59,81,62,59
609,73,82,92,69,44,70,51,86,47,46,86,95,60,58,38,49,84,89,51,48,95,71,95,57,26,86,46,40,38,65,86,89,38,81
610,92,36,75,38,20,72,76,40,24,17,32,47,52,26,13,41,58,32,15,27,83,53,31,18,48,82,38,15,15,20,52,35,27,52
611,54,47,72,52,61,49,54,52,70,45,61,44,54,48,42,57,44,38,56,63,78,57,37,46,48,86,65,60,43,49,46,52,47,69
612,62,58,57,40,41,48,54,52,38,49,41,38,56,48,43,50,57,55,18,36,68,52,58,30,42,70,48,36,30,49,53,45,25,67
613,80,41,78,72,54,44,66,41,51,32,57,54,48,41,32,76,64,39,27,59,85,53,24,23,69,85,62,54,32,36,37,53,45,73
614,47,45,66,61,62,54,55,27,68,51,63,44,54,43,45,59,42,31,54,69,82,55,31,54,54,90,78,61,47,47,37,59,47,91
615,84,41,62,20,30,77,63,36,33,24,26,49,48,29,14,6,51,44,3,29,49,40,44,9,60,49,36,19,13,31,63,25,26,34
616,81,48,60,56,59,61,63,53,70,34,54,73,59,26,24,58,65,43,34,72,50,53,43,23,38,61,63,41,26,33,62,56,48,55
617,26,66,64,80,77,33,27,66,74,79,79,62,56,68,70,88,52,67,79,79,72,62,48,66,38,85,80,67,78,69,59,77,75,79
618,73,49,64,52,41,57,67,50,44,32,54,62,55,41,35,42,67,52,55,48,66,52,47,44,40,72,42,31,43,34,65,65,44,55
619,26,70,56,37,40,70,28,43,40,67,39,28,42,65,68,21,25,72,37,37,60,47,68,38,62,60,39,30,68,75,66,48,31,72
620,53,19,62,69,47,25,73,39,40,48,55,21,46,52,55,76,59,13,46,43,70,41,15,54,51,61,58,45,50,34,25,43,57,80
621,85,66,86,66,84,54,52,64,82,38,78,77,71,44,33,53,74,70,59,97,90,72,64,27,15,90,100,66,20,51,68,85,51,60
622,57,61,61,51,36,74,48,48,43,49,41,44,48,46,42,36,46,62,20,33,57,50,57,28,49,63,23,38,42,53,69,48,31,45
623,44,42,48,64,71,29,50,53,40,54,47,21,49,61,65,64,50,41,38,69,57,47,37,42,48,67,81,54,60,63,32,49,58,68
624,76,30,74,75,36,38,80,51,31,40,77,63,52,42,28,79,76,22,71,38,68,50,21,53,47,68,58,36,40,28,41,62,50,61
625,93,12,78,68,27,54,93,49,20,21,67,67,53,24,16,75,75,16,36,37,94,50,13,27,50,88,48,37,10,7,29,58,41,68
626,64,42,64,58,49,45,67,51,42,43,51,38,50,44,39,56,63,33,56,51,60,52,38,50,32,61,62,42,42,32,51,53,49,50
627,27,79,81,60,73,56,25,67,73,64,71,80,65,73,70,29,54,86,56,72,93,69,86,44,37,92,72,62,68,80,84,80,53,89
628,53,57,77,53,57,52,42,59,67,55,54,58,54,69,61,41,60,69,32,49,78,57,63,33,58,71,50,53,48,68,58,57,45,70
629,48,43,86,83,63,29,57,63,73,63,80,70,54,59,64,95,56,31,75,67,80,58,21,62,44,87,72,62,66,51,36,65,70,74
630,57,41,56,32,41,63,55,29,42,44,28,26,44,43,40,25,30,38,17,37,58,43,44,18,71,56,34,42,35,48,49,27,33,76
631,26,72,76,35,76,63,11,51,60,66,32,52,56,65,71,8,24,85,8,70,74,54,84,30,64,81,82,60,65,87,81,58,36,76
632,71,23,73,54,38,43,75,38,39,36,50,43,43,39,30,59,52,13,55,45,67,44,18,47,49,66,52,38,36,19,43,43,44,72
633,50,55,77,63,52,52,42,62,44,60,62,48,52,60,51,39,54,59,58,49,75,54,63,46,37,77,58,36,55,67,64,73,44,70
634,64,52,78,67,66,38,68,63,53,49,58,48,56,54,48,51,72,44,34,73,78,58,44,38,26,83,80,41,42,54,50,59,53,70
635,66,26,61,62,42,36,70,28,42,41,41,30,51,35,32,75,46,13,42,43,73,44,19,32,61,67,57,52,38,28,31,40,53,55
636,64,52,76,62,53,62,57,48,45,41,61,63,53,42,37,38,49,44,49,63,77,54,52,36,38,79,71,42,41,47,65,61,47,67
637,77,50,67,55,21,69,66,39,38,25,52,57,44,34,28,47,56,47,34,23,58,53,35,32,49,63,24,30,28,28,51,55,39,48
638,12,51,62,31,71,36,28,14,67,73,33,33,45,64,73,44,8,43,34,63,80,42,45,58,86,85,78,50,74,76,58,24,45,78
639,34,49,60,58,74,46,40,38,71,69,57,55,53,65,68,43,38,53,73,72,79,54,47,67,68,80,71,63,70,73,39,55,58,77
640,26,86,78,52,85,54,24,60,81,77,61,84,60,69,66,27,33,88,54,86,84,60,90,42,67,89,80,63,63,88,91,71,45,80
641,66,68,78,52,71,68,43,59,67,41,65,69,59,51,47,39,56,61,43,79,85,60,62,30,39,83,69,56,44,61,73,63,40,69
642,78,43,78,38,58,43,69,44,69,39,39,84,68,31,21,24,61,36,11,72,86,54,33,13,60,89,74,52,28,31,56,42,35,76
643,32,70,71,71,42,59,31,55,52,69,72,46,36,71,63,31,22,70,72,38,78,55,70,68,65,87,32,43,69,82,68,72,54,80
644,65,59,74,50,24,56,55,61,21,29,59,48,54,60,47,28,69,75,37,29,72,53,71,43,40,80,42,28,46,42,76,62,35,51
645,76,53,76,42,33,76,66,34,34,25,44,51,52,40,33,33,58,42,58,35,78,53,54,41,48,87,35,20,29,41,81,54,27,61
646,81,68,76,66,21,81,55,41,41,43,71,52,49,50,32,35,59,62,74,19,95,70,59,61,19,95,11,30,34,37,83,77,40,93
647,68,23,72,90,33,41,79,57,24,29,83,61,46,48,33,87,67,23,93,40,76,50,12,71,43,58,47,39,52,19,21,70,62,53
648,64,24,80,71,38,57,70,46,41,40,67,61,44,41,33,63,48,17,56,48,83,48,9,49,63,90,55,42,39,28,27,59,41,82
649,32,71,68,58,67,63,18,47,69,73,57,70,53,71,69,51,34,78,51,60,68,59,69,48,61,71,57,55,66,76,73,65,47,79
650,60,45,68,68,37,58,69,55,48,42,62,48,56,47,42,66,64,37,65,40,71,49,38,62,40,77,45,49,49,44,43,66,47,73
651,73,57,80,63,46,50,57,66,47,43,58,52,57,55,46,46,75,64,38,43,83,63,65,42,31,88,53,41,37,46,63,67,50,82
652,45,39,54,57,67,35,57,32,61,53,48,50,57,51,53,64,44,32,68,64,68,50,32,51,53,60,65,58,57,53,29,43,52,75
653,61,62,84,71,36,68,44,81,49,43,69,64,52,61,43,56,72,75,70,41,83,64,70,59,24,85,34,42,56,36,80,88,47,71
654,57,29,66,32,40,63,66,21,49,29,37,41,48,38,34,45,38,19,33,42,78,40,27,30,75,90,39,42,37,32,35,35,26,80
655,24,78,77,75,80,43,22,72,74,80,74,36,52,76,82,64,49,80,68,80,74,62,68,62,27,77,78,62,83,77,76,81,67,69
656,49,61,86,65,47,66,38,59,45,45,68,37,46,52,49,44,45,65,79,52,90,57,54,71,49,92,52,38,70,43,79,76,51,56
657,70,64,82,37,66,66,53,35,78,38,31,59,62,43,41,33,38,56,27,71,96,56,52,20,68,97,66,46,30,64,57,39,31,88
658,61,38,79,61,67,33,53,37,72,49,53,46,53,52,49,78,61,41,33,73,98,57,26,29,58,91,81,68,44,51,44,41,49,91
659,47,58,73,57,54,59,52,48,56,50,62,67,53,58,57,49,51,61,47,56,86,59,55,43,57,86,53,47,53,64,55,62,39,74
660,56,58,74,58,59,51,51,63,49,55,59,55,48,51,52,55,62,54,52,54,73,62,46,46,27,82,63,40,51,58,57,66,53,69
661,80,12,62,61,47,31,80,59,29,19,54,61,50,29,23,44,70,18,47,58,58,47,23,39,30,52,74,33,28,17,29,54,54,50
662,67,33,69,70,45,33,79,40,40,32,65,49,54,41,36,66,69,21,64,49,74,50,27,54,47,70,63,39,44,23,35,61,51,64
663,40,40,75,56,97,19,52,33,83,70,37,61,53,68,67,55,40,38,15,93,80,51,40,17,89,92,100,60,42,77,35,33,53,91
664,37,52,59,82,47,35,44,47,35,56,79,57,42,55,57,79,42,47,75,51,64,49,45,65,57,62,51,28,70,46,58,77,64,45
665,19,36,66,54,47,33,43,30,21,69,43,25,41,70,68,56,24,43,54,42,78,39,31,45,86,75,64,30,71,67,35,48,32,72
666,71,70,79,58,55,52,48,67,40,43,55,63,58,46,38,40,68,70,31,50,80,62,71,29,33,84,58,36,33,46,81,72,48,48
667,60,53,60,49,43,53,54,56,46,44,55,65,54,46,42,44,59,54,47,42,59,54,53,45,43,61,47,41,40,46,57,58,43,51
668,59,33,72,71,50,43,58,55,55,44,65,68,49,41,39,78,54,32,63,55,82,55,24,52,55,80,57,53,49,32,42,61,51,66
669,63,31,71,52,31,59,81,23,29,31,45,38,53,41,34,30,49,23,30,33,83,43,29,40,70,78,48,28,43,41,39,33,40,73
670,75,60,82,60,24,57,55,72,28,29,63,78,52,48,35,51,74,62,42,33,84,59,50,28,32,79,39,29,40,30,72,78,41,71
671,77,21,72,76,22,57,80,50,23,31,60,72,41,35,33,71,65,8,66,25,73,53,13,50,39,73,29,15,38,14,30,52,52,46
672,76,55,58,51,43,61,58,50,53,27,52,74,59,39,30,39,56,58,39,45,65,55,53,38,48,71,49,40,29,40,63,54,43,50
673,53,34,70,65,44,52,68,33,56,47,56,56,45,48,45,55,47,30,70,47,66,47,31,59,66,74,43,57,50,43,32,56,54,61
674,69,25,57,58,80,11,83,41,73,27,59,62,67,37,37,59,73,18,33,93,69,51,26,39,51,56,96,82,33,29,21,41,63,80
675,48,36,49,50,69,47,70,14,73,39,51,36,54,40,44,43,37,13,48,77,67,46,23,41,66,82,79,63,47,44,33,37,46,85
676,42,50,52,45,59,46,44,19,52,60,32,34,49,60,61,58,33,50,32,50,59,44,38,39,82,71,66,51,51,74,31,25,37,85
677,37,40,56,52,65,51,46,32,53,63,43,18,38,51,60,51,34,30,55,63,58,44,25,58,68,71,69,44,62,57,49,43,51,66
678,67,37,52,49,26,43,70,57,19,49,54,52,48,45,38,57,63,35,25,19,47,43,44,29,57,43,37,19,28,44,47,49,31,58
679,77,20,74,58,42,57,71,22,45,34,44,37,43,34,22,74,41,20,40,52,77,42,7,32,79,84,51,47,25,19,27,39,42,78
680,72,34,63,90,57,14,68,58,59,38,69,44,55,47,36,84,76,36,52,64,63,50,17,49,29,60,72,64,49,29,33,69,70,54
681,27,85,85,72,67,64,24,78,75,69,80,86,56,67,71,58,54,75,65,70,83,62,70,53,36,85,61,54,75,81,80,87,51,58
682,52,64,61,62,81,54,39,51,76,63,64,52,57,60,60,53,60,65,41,85,72,65,53,43,31,85,82,67,53,67,61,61,59,87
683,34,53,83,52,68,56,30,37,83,75,49,40,45,65,70,71,26,57,37,62,91,60,38,46,86,91,52,65,49,81,45,47,36,60
684,83,50,71,52,45,63,73,65,62,35,57,84,64,34,29,49,72,42,25,51,68,55,46,26,37,64,42,49,18,36,49,53,35,65
685,33,44,81,59,71,44,56,31,72,59,51,34,50,61,63,43,47,39,37,74,93,54,41,49,61,96,78,63,59,68,43,43,47,87
686,63,42,87,78,57,48,65,66,53,45,80,83,55,51,41,79,64,39,86,61,82,59,32,71,53,88,65,53,41,52,47,73,54,81
687,29,68,65,74,78,43,28,64,78,73,70,58,52,73,79,70,49,64,69,76,67,64,55,63,48,77,73,70,75,76,54,71,65,84
688,58,53,87,66,79,43,44,49,64,55,62,57,56,60,53,50,48,57,44,82,98,64,49,42,52,100,86,68,48,61,51,56,53,85
689,57,78,79,57,80,41,40,87,84,65,59,47,65,68,58,62,72,83,48,77,77,67,79,42,30,89,72,60,47,70,71,68,58,59
690,13,20,42,66,58,32,59,17,40,66,45,11,33,57,71,81,23,11,54,63,59,32,4,43,91,47,62,54,78,42,23,44,46,65
691,83,34,63,44,52,39,78,40,60,20,35,38,60,39,28,29,66,32,13,60,76,48,35,21,42,63,71,60,23,36,39,29,51,88
692,50,68,80,55,35,53,41,80,40,49,54,45,48,60,45,54,54,77,40,33,80,57,60,38,47,79,35,30,51,43,76,65,40,40
693,41,39,62,66,35,50,50,46,23,47,73,50,44,60,58,54,58,45,73,29,56,51,51,66,24,69,39,29,67,50,53,71,52,44
694,68,49,64,34,26,71,64,48,36,36,36,38,50,40,33,20,54,49,35,25,67,51,54,36,51,70,30,25,26,43,63,46,28,56
695,54,37,70,37,52,54,70,24,73,31,35,40,55,45,43,49,30,35,51,58,92,46,26,29,90,92,64,62,47,37,41,35,33,83
696,55,52,63,54,87,33,52,61,80,53,51,31,66,52,44,40,52,58,26,96,67,49,58,24,38,76,92,70,35,59,61,53,61,64
697,83,24,62,50,36,60,80,45,41,17,39,38,51,29,18,48,65,23,24,43,70,44,22,28,51,74,50,29,24,14,42,41,45,45
698,20,57,70,51,99,46,26,23,97,67,44,27,59,63,82,41,28,39,28,98,90,55,33,40,64,97,98,81,77,81,35,47,52,95
699,93,16,48,54,16,47,91,30,24,20,51,39,44,18,14,67,64,13,29,25,28,35,2,33,76,24,24,39,9,9,7,40,24,37
700,50,57,74,55,50,52,52,53,53,49,51,50,52,57,54,51,51,55,49,53,75,57,54,43,46,78,55,43,46,60,61,56,46,68
701,26,74,82,69,62,61,31,58,54,73,72,61,49,68,68,60,42,72,48,57,88,59,60,57,60,89,57,37,59,70,68,74,36,75
702,82,67,77,24,40,74,68,55,62,29,38,65,69,38,28,15,66,71,9,39,89,61,76,15,29,89,36,48,16,56,78,50,29,84
703,80,22,67,58,46,41,83,29,48,27,45,31,52,33,23,57,59,16,53,57,73,46,16,38,60,75,64,47,29,19,31,38,52,63
